,Galinta,Ryžiai rudi ilgadrūdžiai,,800g,15.00,,4770205112414
,Galinta,Ryžiai “Delicat” ilgagrūdžiai (4x100gr),,400g,16.00,,4770205112254
,Galinta,Ružiai plikyti ir laukiniai,,400g,16.00,,4770205112360
,Galinta,Ryžiai “Basmati” ilgagrūdžiai,,400g,16.00,,4770205112339
,Galinta,Ryžiai “Jasmine”,,800g,18.00,,4770205112391
,Limor,Ryžiai ilgagrūdžiai (8x100gr),,800g,12.00,,4770205124509
,Limor,Ryžiai ilgagrūdžiai,Long grain rice,800g,14.00,,4770205124424
,Limor,Ryžiai ilgagrūdžiai (4x100gr),,400g,10.00,,4470205124493
,Limor,Ryžiai plikyti,,800g,14.00,,4770205122291
,Limor,Ryžiai plikyti (4x100gr),,400g,10.00,,4770205114142
,Limor,Ryžiai skaldyti,,800g,12.00,,4770205124936
,Galinta,Grikių košė (greitai paruošiama),,500g,25.00,,4770205125315
,Galinta,Grikių košė “Deluxe”,,300g,15.00,,4770205126343
,Galinta,Grikių košė su baravykų padažu,,340g,15.00,,4770205126602
,Galinta,Grikių košė su voveračių padažu,,340g,15.00,,4770205126572
,Galinta,Grikių košė su pomidorų padažu,,340g,15.00,,4770205126596
,Galinta,Grikių kruopos GALINTA (4x100gr),,400g,19.00,,4770205124387
,Galinta,Grikių kruopos GALINTA,,800g,28.00,,4770205121584
,Galinta,Grikių kruopos GALINTA,,1 kg,35.00,,4770205114203
,Limor,Grikių kruopos,,800g,15.00,,4770205121638
,Limor,Grikių kruopos (4x100g),,400g,16.00,,4770205124516
,,MAKARONAI,,kg,,,EAN code
,Amber pasta,Makaronai “Pasaka” cellentani,,400g,9.00,,4770374192095
,Amber pasta,Makaronai “Pasaka” pannette rigate,,400g,9.00,,4770374192057
,Amber pasta,Makaronai “Pasaka” fusilli (5 cereali),,400g,9.00,,4770374192088
,Amber pasta,Makaronai “Pasaka” pipette rigate,,400g,9.00,,4770374192101
,Amber pasta,Makaronai “Pasaka” mini conchiglie rigate,,400g,9.00,,4770374192071
,Amber pasta,Makaronai “Pasaka” insalatonde,,400g,9.00,,4770374192064
,Amber pasta,Makaronai “Pasaka” vaikiški,,400g,9.00,,4770457192042
,Amber pasta,Makaronai “Pasaka” spaghetti,,400g,9.00,,4770374192118
,Amber pasta,Makaronai “pasaka”,,400g,9.00,,4770374192125
,Amber pasta,"Makaronai ""Gintariniai"" kriauklytes",,400g,9.00,,4770457191069
,Amber pasta,"Makaronai ""Gintariniai"" smulkios lazdeles",,400g,9.00,,4770457191021
,,PUPELĖS/ ŽIRNIAI,,kg,,,EAN code
,Galinta,Pupelės baltos,,500g,15.00,,4770205121805
,Galinta,Pupelės tamsiai margos,,500g,15.00,,4770205122161
,Galinta,Pupelės šviesiai margos,,500g,15.00,,4770205122154
,Galinta,Pupelės raudonos,,500g,15.00,,4770205122147
,Limor,Pupelės baltosios,,400g,14.00,,4770205124394
,Galinta,Žirniai skaldyti,,800g,16.00,,4770205121713
,Galinta,Žirniai apvalūs,,800g,16.00,,4770205121577
,Limor,Žirniai apvalūs,,800g,14.00,,4770205121645
,Limor,Žirniai skaldyti,,800g,16.00,,4770205124578
,Skanėja,Avinžirniai,,500g,12.00,,4770351195255
,,KRUOPOS/ MIŠINIAI,,kg,,,EAN code
,Galinta,Manų kruopos “Galinta”,,800g,18.00,,4770205121607
,Biglio dribs. Gamyba,Manų kruopos “Pasaka”,,800g,18.00,,4779033860450
,Limor,Manų kruopos,,800g,18.00,,4770205124165
,Malsena,"Manų kruopos ""Karališki manai"" ",,,12.00,,
,Limor,Sorų kruopos,,800g,18.00,,4770205124929
,Limor,Miežių kruopos,,800g,12.00,,4770205121379
,Oma,Miežių kruopos,,1 kg,14.00,,4751014930031
,Fasma,Miežinės kruopos,,800g,12.00,,4770584113118
,Fasma,Perlinės kruopos,,800g,12.00,,4770584113101
,Limor,Perlinės kruopos,,800g,15.00,,4770205124448
,Fasma,Kvietinės kruopos,,800g,12.00,,4770584113125
,Limor,Kviečių kruopos,,800g,15.00,,4770205121386
,Skanėja,Kukurūzų kruopos,,500g,16.00,,4770351101072
,Bona Vta,Sojų faršas,,150g,12.00,,8594001560035
,,MILTAI/ MILTŲ MIŠINIAI,,kg,,,EAN code
,Sauda,Bulvių košė su grietinėle (milteliai),,37g,4.00,,4770412091250
,Sauda,Bulvių košė su grietinėle (milteliai),,150g,12.00,,4770412080544
,,Miltų mišinys JUODAI DUONAI,,1 kg,20.00,,
,Malsena,Mišinys cepelinams,,500g,20.00,,4779028200513
,Malsena,Mišinys bulviniams blynams,,200g,20.00,,4779028200636
,Malsena,Mišinys juodai duonai,,1 kg,15.00,,4779028200339
,,Mišinys žemaitiškiems blynams,,400g,20.00,,
,,MILTAI,,kg,,,EAN code
,Kauno Grūdai,Aukščiausios rūšies Kvietiniai miltai,,1 kg,12.00,,4770107240109
,Kauno Grūdai,Aukščiausios rūšies Kvietiniai miltai EKSTRA,,"1,75kg",16.00,,4770107000291
,Malsena Plius,Šiaulių kvietiniai miltai,,1 kg,12.00,,4779028200209
,Malsena,Kvietiniai miltai KARALIŠKI premium,,1kg,13.00,,4770079110110
,Malsena,Kvietiniai miltai EKSTRA,,1kg,13.00,,4770079111124
,Melvit,Kukurūzų miltai,,1kg,14.00,,5906827012705
,,DRIBSNIAI,,kg,,,EAN code
,Galinta,Grikių dribsniai,,500g,16.00,,4770205122062
,Galinta,5-ių grūdų dribsniai,,500g,15.00,,4770205122079
,Galinta,Avižiniai dribsniai (greitai paruošiami),,500g,15.00,,4770205114197
,Galinta,Avižiniai dribsniai,,500g,15.00,,4770205122031
,Galinta,Ryžių dribsniai,,500g,15.00,,4770205122055
,Galinta,2-jų grūdų dribsniai “Deluxe”,,300g,15.00,,4770205126329
,Galinta,3-jų grūdų dribsniai “Deluxe”,,300g,15.00,,4770205126336
,Galinta,Ryžių dribsniai “Deluxe”,,300g,15.00,,4770205126312
,Limor,3-jų grūdų dribsniai,,400g,15.00,,4770205122864
,Limor,3-jų grūdų dribsniai su džiovintais vaisiais,,400g,15.00,,4770205126305
,Limor,Kvieciu dribsniai,,400g,15.00,,4770205124868
,Limor,Mieziu dribsniai,,400g,15.00,,4770205122857
,Pasaka,5-ių grūdų dribsniai,,400g,15.00,,4770374194020
,,KEČUPAS/ PADAŽAI,,kg,,,EAN code
,Kėdainių kons fabr,Pomidorų kečupas klasikinis,,480g,20.00,,4770583216322
,Kėdainių kons fabr,Pomidorų kečupas aštrus,,480g,20.00,,4770583216414
,Kėdainių kons fabr,Pomidorų kečupas šašlykams,,480g,20.00,,4770583216346
,Suslavičius-Felix,Pomidorų kečupas “Suslavičiaus” Klasikinis,,500g,20.00,,4770135206115
,Suslavičius-Felix,Pomidorų kečupas “Suslavičiaus” Klasikinis,,1 kg,35.00,,4770135206061
,Suslavičius-Felix,Pomidorų kečupas “Suslavičiaus” Šašlykų,,500g,20.00,,4770135206146
,Suslavičius-Felix,Pomidorų kečupas “Suslavičiaus” Šašlykų,,1 kg,35.00,,4770135206092
,Suslavičius-Felix,Pomidorų kečupas “Suslavičiaus” Švelnus,,500g,20.00,,4770135206139
,Suslavičius-Felix,Pomidorų kečupas “Suslavičiaus” Švelnus,,1 kg,35.00,,4770135206085
,Suslavičius-Felix,Pomidorų kečupas “Suslavičiaus” Aštrus,,500g,20.00,,4770135206153
,Suslavičius-Felix,Pomidorų kečupas “Suslavičiaus” Pikantiškas,,500g,20.00,,4770135206122
,Daumantų,Kečupas PREMIUM,,500g,20.00,,4770491213567
,Kėdainių kons fabr,Pomidorų padažas “Šašlykams” ,,480g,20.00,,4770583213307
,Kėdainių kons fabr,Pomidorų padažas su daržovėmis,,500g,20.00,,4770583213932
,Kėdainių kons fabr,Pomidorų padažas “Premium” ,,500g,20.00,,4770583214663
,Kėdainių kons fabr,Pomidorų padažas “Sodžius” su agurkais,,500g,20.00,,4770583215325
,Kėdainių kons fabr,Pomidorų padažas “Čipo” su svogūnais,,500g,20.00,,4770583215332
,Kėdainių kons fabr,Padažas “BBQ” (barbekių),,320g,19.00,,4770583216759
,Kėdainių kons fabr,Padažas “Thai” (tailandietiškas),,280g,19.00,,4770583216377
,Kėdainių kons fabr,Padažas “Salsa Brava”,,270g,19.00,,4770583216384
,Kėdainių kons fabr,Pomidorų padažas “Hrenovina” su krienais,,300g,16.00,,4770583213840
,Daumantų,Pomidorų padažas KARALIŠKAS,,500g,20.00,,4770491214069
,Valdorfo,Ugninė adžika,,180g,16.00,,4770365092045
,BUGAs,Kaukazietiška adžika,Caucasian adzhika,160g,15.00,,4779032460217
,BUGAs,Močiutės adžika,Grandma's adzhika,160g,15.00,,4779032460224
,Daumantų,Adžika,,280g,16.00,,4770491214557
,Kėdainių kons fabr,Adžika,,260g,16.00,,4770583215202
,PURE,Adžika su alyvuogių ,,280g,16.00,,4750145003768
,Vilnaius majonezo gamykla,Mėsos padažas,Meat sauce,500g,20.00,,4770139202236
,,KRIENAI/ GARSTYČIOS,,kg,,,EAN code
,Kėdainių kons fabr,Krienai naminiai,,250g,20.00,,4770583213116
,Daumantų,Krienai,,180g,14.00,,4770491215028
,Vigo,"Krienai, balti",,185g,14.00,,
,Vigo,"Krienai, raudoni",,185g,14.00,,
,Daumantų,Garstyčios Lietuviškos,,190g,14.00,,4770491214465
,Kėdainių kons fabr,Garstyčios “Tikros Rusiškos”,,190g,12.00,,4770583213468
,Kėdainių kons fabr,Garstyčios “Tikros Rusiškos” aštrios,,190g,12.00,,4770583213154
,,SUMUŠTINIAMS,,kg,,,EAN code
,Kėdainių kons fabr,Tunas sumuštiniams “Thunnus” su itališkais prieskoniais,,280g,20.00,,4770583162179
,Kėdainių kons fabr,Tunas sumuštiniams “Thunnus” su meksikietiškais prieskoniais,,280g,20.00,,4770583162186
,Kėdainių kons fabr,Tunas sumuštiniams “Thunnus” su žirneliais,,280g,20.00,,4770583214403
,Kėdainių kons fabr,Tunas sumuštiniams “Thunnus” su kukurūzais,,280g,20.00,,4770583214397
,Kėdainių kons fabr,Lašiša sumuštiniams “Salmo salar” citrinos skonio,,280g,18.00,,4770583205944
,Kėdainių kons fabr,Lašiša sumuštiniams “Salmo salar” ypatinga,,280g,18.00,,4770583215790
,Kėdainių kons fabr,Lašiša sumuštiniams “Salmo salar” su grilio prieskoniais,,280g,18.00,,4770583215943
,,BAKALĖJA,,kg,,,EAN code
,,"Valgomoji soda, pop.pak., 500g",,,15.00,,
,ARTIOMSOL,"Valgomoji druska, akmens",,1 kg,8.00,,4771323250088
,ARTIOMSOL,"Valgomoji druska su juodu, akmens",,1 kg,8.00,,4820002270128
,Fruktozė,,,,,,
,Galinta,Valgomoji druska,,800g,15.00,,4770205251212
,Bajoriškių,"Maistinė acto rūgštis,9%",,"0,5l",10.00,,4770211224255
,?,"Maistinė acto rūgštis, 70%",,330ml,19.00,,?
,Bajoriškių,Obuolių actas,,1L,20.00,,4770211224187
,Rukola,Saulėgrąžų aliejus “Vilnius”,,1L,25.00,,4770148151020
,Rukola,Kepimo aliejus “Vilnius” (spec. užsakymas),,5L,129.00,,
,Rukola,Saulėgrąžų aliejus “Obelių aliejus” (nerafinuotas),,"0,9l",25.00,,4770139152494
,Klingai,Gera gira (giros ekstraktas + sausos mieles),,126g,15.00,,4770855207454
,Sauda,Kepimo milteliai,,100g,?,,4770412091793
,Malsena,"Maistinės kviečių sėlenos ""Naturalis""",,200g,5.00,,
,Gerovė,Kanapių pagardas,,190g,35.00,,4770321127125
,,SIRUPAI,,,,,
,Rasa,Vyšnių skonio sirupas su cukrais ir saldikliu,Cherry taste syrup,500ml,15.00,,4770146229943
,Rasa,Aviečių skonio sirupas su cukrais ir saldikliu,Raspberry taste syrup,500ml,15.00,,4770146229950
,Rasa,Žemuogių skonio sirupas,Wild strawberry flavour syrup,500ml,15.00,,4770146229967
,,PRIESKONIAI,,kg,,,EAN code
,Santa Maria,Barščių prieskoniai,,40g,6.00,,4740018134729
,Santa Maria,Persiladas,,35g,6.00,,4740018172059
,Santa Maria,Citrininiai žuvies prieskoniai,,23g,6.00,,6418474118369
,Santa Maria, ,,30g,6.00,,6418474118277
,Santa Maria,Mėsos prieskoniai su žolelėmis ir česnaku,,20g,6.00,,6418474148922
,Santa Maria,Šašlykų prieskoniai,,800g,110.00,,4740018152327
,Santa Maria,Peletrūnai (Estragon),,105g,50.00,,4740018151894
,Sauda,Agurkų marinavimui prieskonių mišinys,,75g,6.00,,4770412090901
,Sauda,Česnakų granulės,,45g,6.00,,4770412093735
,Sauda,Kmynai,,40g,7.00,,4770412094008
,Sauda,Kvapieji pipirai,,30g,6.00,,4770412093711
,Sauda,Kvapieji pipirai malti,,30g,6.00,,4770412093728
,Sauda,Petražolės,,15g,6.00,,4770412093940
,Sauda,Prieskonių mišinys maltai mėsai,,50g,6.00,,4770412093780
,Sauda,Prieskonių mišinys karis,,50g,6.00,,4770412093964
,Sauda,Prieskonių mišinys šašlykui,,50g,6.00,,4770412093773
,Sauda,Prieskonių mišinys žuviai,,50g,6.00,,4770412093766
,Sauda,Prieskonių mišinys šašlykui,,100g,15.00,,4770412091984
,Sauda,Prieskonių mišinys kepsniui,,100g,15.00,,4770412091977
,Sauda,Prieskonių mišinys kiaulienai,,100g,15.00,,4770412091953
,Sauda,UNIVERSALUS prieskoniu misinys be druskos,,100g,15.00,,4770412091854
,Sauda,Karis,,100g,15.00,,4770412091748
,Sauda,Cinamonas,,100g,15.00,,4770412091786
,Sauda,Lauro lapai,,100g,15.00,,4770412091724
,,Kmynai,,100g,8.00,,
,Klingai,Maistinė želatina,,100g,18.00,,4770855350334
,Klingai,Vanilinis cukrus,,50g,5.00,,4770855210300
,Delika,Fruktozė,,500g,35.00,,4770855212656
,Sanitex,Citrinų rūgštis,,50g,4.00,,4771459043523
,Sanitex,Linų sėmėnys,Linseed,1 kg,49.00,,4779033860313
,Sanitex,Aguonos,Poppy seeds,100g,10.00,,4771249812117
,Arimex,Aguonos,Poppy seeds,1 kg,75.00,,4771459048030
,Arimex,Aguonos,Poppy seeds,100g,10.00,,4771249811714
,,Lukštentos saulėgrąžos,,200g,10.00,,
,Vilniaus Duona,"Džiuvėsiai,malti",,400g,18.00,,4770163198079
,,ŽELĖ/ KISIELIUS,,kg,,,EAN code
,Klingai,"Želė apelsinų skonio (0,5L)",,80g,6.00,,4770855212113
,Klingai,"Želė braškių skonio (0,5L)",,80g,6.00,,4770855212120
,Klingai,"Želė kivių skonio (0,5L)",,80g,6.00,,4770855212106
,Klingai,"Želė vyšnių skonio (0,5L)",,80g,6.00,,4770855212137
,Klingai,"Želė citrinų skonio +10 vitaminų (0,5L)",,80g,8.00,,4770855350402
,Klingai,"Želė spanguolių skonio +10 vitaminų (0,5L)",,80g,8.00,,4770855207201
,Klingai,"Želė aviečių skonio +10 vitaminų (0,5L)",,80g,8.00,,4770855350372
,Klingai,"Želė braškių skonio +10 vitaminų (0,5L)",,80g,8.00,,4770855350365
,Klingai,Kisielius spanguolių skonio,,250g,12.00,,4770855207010
,Klingai,Kisielius aviečių skonio,,250g,12.00,,4770855207027
,Klingai,Kisielius braškių skonio,,250g,12.00,,4770855207034
,Klingai,Kisielius vyšnių skonio,,250g,12.00,,4770855210751
,Klingai,"Kisielius braškių, bananų ir apelsinų skonio",,250g,12.00,,4770855210768
,MĖSOS GAMINIAI,,,,,,
,,VIRTI MĖSOS GAMINIAI,,kg,,,EAN code
,Biovela,Virta Daktariška dešra,,300g,19.00,,4770118163527
,Biovela,Virta Daktariška dešra,,500g,29.00,,
,Biovela,Virta “Giminių” daktariška dešra,,600g,45.00,,4770118410171
,Biovela,Virta “Giminių” daktariška dešra su lašinukais,,600g,35.00,,
,Biovela,Virta dešra “Ekstra Daktariška”,,600g,39.00,,4770118406174
,Biovela,Virta dešra “Ekstra Daktariška” su lašinukais,,600g,39.00,,
,Biovela,Virta pieniška vaikų dešra,,300g,21.00,,4770118163633
,Biovela,Virta kumpinė dešra,,~850-900g,60.00,,2351437008823
,Biovela,Virta Tradicinė Daktariška dešra,,900g,50.00,,
,Biovela,Virta Populiarioji dešra,,800g,35.00,,
,Biovela,Virta Bočių dešra,,600g,35.00,,4770118405634
,Biovela,Virta Daktariška “Giminių” dešra,,300g,25.00,,4770118163701
,Biovela,Virta Populiarioji dešra,,800g,35.00,,4770118400820
,Biovela,"Virta ""Vaikų"" dešra",,300g,21.00,,
,Krekenavos,Virta Mėsinga jautienos dešra,,340g,29.00,,4770609163395
,Krekenavos,Virta Daktariška dešra,,340g,25.00,,4770609161353
,Krekenavos,Virta Daktariška dešra “Senasis mėsos standartas”,,500g,49.00,,4770609163630
,Krekenavos,Virta Pieniška dešra,,400g,29.00,,4770609161278
,Krekenavos,Virta Krekenavos Daktariška dešra,,500g,35.00,,4770609162831
,Krekenavos,Virta Krekenavos Daktariška dešra su kumpiu,,500g,39.00,,4770609162848
,Krekenavos,Virta Mėsinga dešra,,340g,25.00,,4770609162138
,Krekenavos,Virta dešra “Pasaka” su kalciu,,340g, ,,4770609163326
,Krekenavos,Virta Žemaitiška dešra su lašinukais (Kogt pølse med Žemaitiška bacon),,~1 kg,90.00,,24609198
,Krekenavos,Virta Žemaitiška dešra (Kogt pølse Žemaitiška),,~ 500g,90.00,,24609883
,Krekenavos,Virta Pusrytinė dešra,,1 kg,59.00,,2460985109989
,Krekenavos,Virta Daktariška dešra,,1 kg,59.00,,2460913709847
,Krekenavos,VirtaPanerio dešra,,1 kg,59.00,,2460910509822
,Krekenavos,Virta EKSTRA dešra su lašinukais,,340g,25.00,,4770609161339
,Krekenavos,Virta Daktariška dešra,,340g,25.00,,4770609161353
,,Virta MĖSINGA dešra (90% mėsos),,340g,40.00,,
,Biovela,Virtas kiaulės liežuvio ir ausų vyniotinis gabaliukais,,~350g,130.00,,
,Biovela,Virtas kiaulės liežuvio ir ausų vyniotinis pilnas,,~1300g,130.00,,
,,KARŠTAI RŪKYTI MĖSOS GAMINIAI,,kg,,,EAN code
,Krekenavos,"Karštai rūkytas ""Krekenavos"" servelatas",,280g,25.00,,4770609026157
,Krekenavos,"Karštai rūkytas ""Jubiliejinis"" serveladas",,375g,32.00,,4770609162893
,Krekenavos,"Karštai rūkytas ""Krekenavos"" saliamis",,280g,25.00,,4770609026126
,Krekenavos,"Karštai rūkyta ""Žemaitiška"" dešra",,400g,43.00,,4770609161322
,Krekenavos,"Karštai rūkyta ""Krokuvos"" dešra",,400g,30.00,,
,Krekenavos,"Karštai rūkyta ""Bajorų"" dešra",,400g,32.00,,4770609163661
,Krekenavos,"Karštai rūkyta ""Bajorų"" dešra",,~850g,ukinii,,235458080
,Krekenavos,"Karštai rūkyta ""Dzūkų"" dešra",,500g,55.00,,2354581604941
,Krekenavos,"Karštai rūkyta kiaulienos "" Panevėžio"" filė",,330g,130.00,,246094070
,Krekenavos,"Karštai rūkytos kiaulių ausys vakuume, pjaustytos",,kg,140.00,,24609401
,Krekenavos,Karštai rūkyti kiaulių liežuviai vakuume,,kg,,,24609284
,Krekenavos,Rinkinukas prie alaus,,kg,120.00,,24609363
,Biovela,"Karštai rūkytas ""Vilniaus"" servelatas",,350g,39.00,,4770118163091
,Biovela,"Karštai rūkytas ""Ekstra"" servelatas",,~500g,80.00,,
,Biovela,"Karšto rūkymo ""Pusryčių"" dešra",,~400g,60.00,,
,Biovela,"Karšto rūkymo kiaulienos filė su kmynais, gabaliukais",,~300g,110.00,,
,Biovela,"Karšto rūkymo sprandinė su česnakais, gabaliukais",,~350g,80.00,,
,Biovela,"Karšto rūkymo ""Žemaičių"" kepsnys, gabaliukais",,~350g,80.00,,
,,ŠALTAI RŪKYTI MĖSOS GAMINIAI,,kg,,,EAN code
,Krekenavos,"Šaltai rūkyta Krekenavos skilandinė dešra, juodalksnio dūmu",,350g,60.00,,4770609161032
,Krekenavos,Šaltai rūkyta Česnakinė dešra,,230g,45.00,,4770609162213
,Krekenavos,Šaltai rūkyta dešra Be konservantų,,230g,54.00,,4770609162244
,Biovela,Šalto rūkymo skilandis naturalioje pusleje,,~600g,190.00,,
,Biovela,"Šalto rūkymo ""Maskvos"" dešra",,230g,45.00,,
,Biovela,Šaltai Rūkytas Juodasis kumpis pjaustytas,,110g,29.00,,
,Biovela,Šaltai rūkytas Juod kump B G V530 Rr,,"~2,6",220,,
,Biovela,Šaltai Rūkytas Juodasis kumpis ,,~ 300g,220,,4770118402015
,Biovela,Šaltai Rūkyta Kiaulienos šoninė pjaustyta,,200g,22.00,,
,Biovela,Šaltai Rūkyta Kiaulienos šoninė ,,200g,19.00,,
,Biovela,Šaltai Rūkytas bekonas,,200g,22.00,,
,Biovela,Šaltai Rūkytas Klasikinis saliamis,,200g,35.00,,4770081165795
,Biovela,Šaltai Rūkyta Kaimo dešra,,200g,35.00,,4770081165818
,Biovela,Šaltai Rūkyta Skilandine dešra,,~550g,190.00,,4770081165825
,Biovela,Šaltai Rūkyta Grūdėtoji dešra,,200g,35.00,,
,Biovela,Šaltai Rūkyta Žemaitukė dešra,,150g,25.00,,
,Biovela,Šaltai Rūkyta Naminė dešra,,230g,26.00,,4770081165955
,Biovela,Šaltai Rūkyta Naminė dešra,,220g,25.00,,4770118163794
,Biovela,Šaltai Rūkyta Naminė dešra,,200g,25.00,,
,,VYTINTI MĖSOS GAMINIAI,,kg,,,EAN code
,Biovela,Vytinta Vilniaus kumpinė dešra,,200g,40.00,,4770081165580
,Biovela,Vytinta dešra Legenda,,200g,40.00,,4770118402879
,Biovela,Vytinta Bernų dešra su rožiniais piprais pjaustyta,,90g,19.00,,4770118403340
,Biovela,Vytinta Bernų dešra su Baltaisiais pipirais pjaustyta,,90g,19.00,,
,Biovela,Vytinta Bernų dešra su Žaliaisiais pipirais pjaustyta,,90g,19.00,,
,Biovela,Vytinta Lietuviška dešra pjaustyta,,90g,19.00,,
,Biovela,Vytintos kiaulienos dešrelės TikTie,,160g,38.00,,4770118163725
,Biovela,Vytinta Kalakutienos Gintarinė dešra,,200g,65.00,,
,Biovela,Vytinta Jautienos kapoto kumpio dešra,,200g,59.00,,4770081166914
,Biovela,Vytinta Lietuviška dešra ,,280g,55.00,,4770081165573
,Biovela,Vytinta Bernų pjaustyta dešra,,200g,40.00,,
,Biovela,Vytinta Bernų dešra su baltaisiais pipirais,,200g,40.00,,
,Biovela,Vytinta Bernų dešra,,200g,40.00,,4770081165542
,Biovela,Vytintų ir šaltai rūkytu gaminių rinkinys pjaustytas,,120g,27.00,,4770118402688
,Biovela,Vytintas jautienos kumpis “Kentaurų”,Dried beef ham “Kentaurų”,~300g,200.00,,2354043203226
,Krekenavos,Vytintos jautienos dešrelės,,95g,36.00,,4770609163364
,Krekenavos,Vytintos dešrelės be konservantų,,230g,49.00,,4770609162862
,Krekenavos,Vytintos dešrelės “Time Out” mini snack,,50g,15.00,,4770609163319
,Krekenavos,Vytinta Vytauto dešra,,200g,45.00,,4770609162268
,Krekenavos,Vytinta Mindaugo dešra,,200g,45.00,,4770609162251
,Krekenavos,Vytinta Mėsinga dešra dujose,,200g,40.00,,4770609162428
,Krekenavos,Vytinta Jautienos kumpio dešra,,200g,45.00,,4770609161933
,Krekenavos,Vytinta Kiaulienos kumpio dešra,,200g,59.00,,4770609162954
,Krekenavos,Vytinta Česnakinė dešra,,200g,45.00,,4770609162404
,Krekenavos,Vytinta dešra Be konservantu,,200g,54.00,,4770609161735
,,,,,,,
,Krekenavos,"Vytintas kiaulienos kumpis ""Bajorų""",,~150g,260.00,,235489550
,,Vytintan KLEBONIŠKA dešra su baravykais 175g,,,45.00,,
,,LAŠINIAI/ ŠONINĖ/ KUMPIS,,kg,,,EAN code
,Biovela,Sūdyti Gaspadoriaus lašiniai,,~200-300g,80,,241183690
,Biovela,"Sūdyti Gaspadoriaus lašiniai su skaldytais pipirais ir česnakais, pjaustyti",,90g,10.00,,4770081167225
,Biovela,"Šalto rūkymo ""Naminiai"" lašiniai gabaliukais",,~350g,75.00,,
,,"Šalto rūkymo kaimo lašiniai RAGNOS,kg",,,95.00,,
,Krekenavos,Šaltai rūkyti Miestietiški lašiniai,,~ 300g,100.00,,246096500
,Krekenavos,Šaltai rūkyti Ūkininkų lašiniai vak,,~ 300g,90.00,,246091260
,Krekenavos,Sūdyti Naminiai lašiniai,,~ 500g,100.00,,24609183
,Krekenavos,Šiltai rūkyti lašiniai,,~ 300g,100.00,,246094150
,Krekenavos,Šaltai rūkyti lašiniai vakuume po 0.5 kg ,,~ 500g,100.00,,24609446
,Krekenavos,"Šaltai rūkyta šoninė vak 0,3",,~ 300g,100.00,,24609653
,,"Šalto rūkymo POPULIARIOJI šoninė, kg",,,115.00,,
,Biovela,"Karšto rūkymo kiaulienos šoninė, gabaliukais",,~350g,80.00,,
,Biovela,Vytintas Jubiliejinis Kumpis,,70g,,,
,Krekenavos,Jautienos kumpinė vytinta dera dujose,,200g,45.00,,4770609161933
,Krekenavos,"Karštai rūkyta šoninė vakuume po 0,3",,~ 300g,120.00,,24609415
,,PAŠTETAI,,kg,,,EAN code
,Biovela,"Sterilizuotas ""Jubiliejinis"" paštetas vaikų",,90g,6.00,,
,Biovela,"Sterilizuotas ""Jubiliejinis"" paštetas",,120g,7.00,,4770118162346
,,Paštetas vaikams,,150g,12.00,,
,Biovela,"Sterilizuotas ""Giminių"" paštetas",,120g,7.00,,4770081163142
,Biovela,"Sterilizuotas paštetas ""Lietuviškas"" standartas",,120g,12.00,,4770081166662
,,VIRTOS DEŠRELĖS/ SARDELĖS,,kg,,,EAN code
,Biovela,Virtos Pieniškos dešrelės,,260g,19.00,,4770118402817
,Biovela,Virtos Vilniaus Ekstra pieniškos dešrelės,,260g,20.00,,4770118402800
,Biovela,Virtos Smalsučių dešrelės,,600g,50.00,,
,Biovela,Virtos Klaipėdos sardelės,,400g,30.00,,4770118401056
,Biovela,Virtos dešrelės su sūriu,,520g,40.00,,
,Biovela,Virtos Kalakutienos dešrelės,,260g,29.00,,4770118409984
,Biovela,Virtos Kalakutienos dešrelės su sūriu,,260g,22.00,,
,Biovela,Virtos vištienos dešrelės,,260g,24.00,,4770118410003
,Biovela,Virtos vištienos dešrelės su sūriu,,260g,23.00,,4770118409991
,Krekenavos,Virtos pieniškos dešrelės “Senasis Mėsos Standartas”,,280g,29.00,,4770609163487
,Krekenavos,Virtos pieniškos dešrelės “Vištienos MĖSINGOS”,,280g,27.00,,4770609163494
,Krekenavos,Virtos pieniškos dešrelės “Mėsingos”,,280g,27.00,,4770609161988
,Krekenavos,Virtos dešrelės “Pasaka”,,260g,22.00,,4770609160110
,Krekenavos,Virtos dešrelės PIENIŠKOS,,500g,39.00,,4770609162947
,Krekenavos,Virtos pieniškos dešrelės “Klaipėdos”,,300g,22.00,,4770609162930
,Krekenavos,Virtos pieniškos dešrelės “Pusrytinės”,,600g,,,4770609162008
,Krekenavos,Virtos jautienos dešrelės “Mėsingos”,,280g,25.00,,4770609163005
,Krekenavos,Virtos dešrelės “Hot Dog” Maxi pakuotė,,1 kg,50.00,,4770609160981
,Biovela,"Virtos ""Klaipėdos"" sardelės",,400g,30.00,,
,Krekenavos,Virtos sardelės dujose “Klasikinės”,,500g,28.00,,4770609163203
,,KARŠTAI RŪKYTOS DEŠRELĖS,,kg,,,EAN code
,Krekenavos,Karštai rūkytos Be Konservantų dešrelės,,300g,42.00,,4770609160448
,Krekenavos, ,,400g,49.00,,4770609161872
,Biovela,Karštai Rūkytos Medžiotojų dešrelės,,250g,27.00,,4770081167300
,Biovela,Karštai Rūkytos dešrelės su sūriu,,400g,40.00,,4770118163534
,,VIŠTIENA,,kg,,,EAN code
,Yano,Virti rūkyti viščiukų ketvirčiai,,~ 1 kg,55.00,,2504790006580
