,TAMSIOS RUGINĖS DUONOS ,DARK RYE BREAD,kg,"Price, DKK",EAN code,TYPE
Elmenhorster,GIMTINĖS Gaivusis obuolių ir mėlynių sulčių gėrimas,,1L,16.00,4770569913658,JUICE/ DRINKS/ COMPOTE
Elmenhorster,GIMTINĖS Gaivusis obuolių ir kriaušių sulčių gėrimas,,1L,16.00,4770569913535,JUICE/ DRINKS/ COMPOTE
Elmenhorster,Obuolių ir melionų sulčių gėrimas,Apple and melon juice drink,1,16.00,4770569427681,JUICE/ DRINKS/ COMPOTE
Elmenhorster,Spanguolių nektaras,Cranberry nectar,1,22.00,,JUICE/ DRINKS/ COMPOTE
Elmenhorster,Apelsinų nektaras,Orange nectra,2,25.00,4770569913887,JUICE/ DRINKS/ COMPOTE
Elmenhorster,Nealkoholinis kokteilis “Pina Colada”,"Non-alcoholic cocktail ""Pina Colada""",1 L,25.00,4770569913962,JUICE/ DRINKS/ COMPOTE
Elmenhorster,Nealkoholinis kokteilis “Mojito” ,"Non-alcoholic cocktail ""Mojito""",1 L,25.00,4770569913962,JUICE/ DRINKS/ COMPOTE
Jale,Granatų sultys JALE,Pomegranate juice JALE,1,29.00,,JUICE/ DRINKS/ COMPOTE
Granda,Natūralus granatų sultys GRANDA 100%,Natural pomegranate juice 100%,1,29.00,,JUICE/ DRINKS/ COMPOTE
Gutta,Baltijos juodųjų serbentų nektaras,Baltic blackcurrant nectar,1,15.00,4750009941892,JUICE/ DRINKS/ COMPOTE
Gutta,Spanguolių gėrimas,Cranberry drink,1,15.00,4750009786509,JUICE/ DRINKS/ COMPOTE
Gutta,Citrinų nektaras,Lemon nectar,1,15.00,4750009752511,JUICE/ DRINKS/ COMPOTE
Gutta,Multivitaminų nektaras,Multifruit nectar,1,15.00,4750009742512,JUICE/ DRINKS/ COMPOTE
Gutta,Slyvų nektaras,Plump nectar,1,15.00,4750009736511,JUICE/ DRINKS/ COMPOTE
Gutta,Granatų gėrimas,Pomegranate drink,1,15.00,4750009788503,JUICE/ DRINKS/ COMPOTE
Gutta,Pomidorų sultys,Tomatoe juice,1,15.00,4750009761513,JUICE/ DRINKS/ COMPOTE
Gutta,Vyšnių gėrimas,Cherry drink,1,15.00,4750009798502,JUICE/ DRINKS/ COMPOTE
Gutta,Apelsinų sultys,Orange juice,1,15.00,4750009711518,JUICE/ DRINKS/ COMPOTE
Gutta,Vynuogių ir braškių nektaras LOTTE,Grapes and strawberry nectar LOTTE,0.3,7.00,4750009941939,JUICE/ DRINKS/ COMPOTE
Gutta,Įvairių vaisių nektaras LOTTE,Different fruits nectar LOTTE,0.3,7.00,4750009941670,JUICE/ DRINKS/ COMPOTE
Gutta,Obuolių ir kriaušių nektaras LOTTE,Apple and pear nectar LOTTE,0.3,7.00,4750009941687,JUICE/ DRINKS/ COMPOTE
Gutta,"Karštas žiemos vyšnių, spanguolių ir aronijų gėrimas","Warm winter cherry, cranberry and chokeberry drink",1,22.00,4750009943469,JUICE/ DRINKS/ COMPOTE
Gutta,Žiemos juodųjų serbentų ir raudonųjų vynuogių gėrimas,Winter blackcurrant and red grape drink,1,22.00,4750009711266,JUICE/ DRINKS/ COMPOTE
Gutta,Skirtingų uogų gėrimas”Uogų kokteilis” GUTTA MAX,"Different fruit drink ""Berry cocktail"" Gutta MAX",2 L,29.00,4750009942653,JUICE/ DRINKS/ COMPOTE
Gutta,Obuolių nektaras GUTTA MAX,Apple nectar GUTTA MAX,2 L,25.00,4750009312968,JUICE/ DRINKS/ COMPOTE
Gutta,Raudonųjų vynuogių nektaras “Romiešu vinogas”,"Red grapes nectar ""Romiesu vinogas""",2 L,25.00,4750009941908,JUICE/ DRINKS/ COMPOTE
Gutta,Apelsinų-mango nektaras GUTTA MAX,Orange-mango nectar GUTTA MAX,2 L,29.00,4750009942844,JUICE/ DRINKS/ COMPOTE
Gutta,Spanguolių gėtimas GUTTA MAX,Cranberry drink GUTTA MAX,2 L,25.00,4750009386976,JUICE/ DRINKS/ COMPOTE
Gutta,Obuolių- mėtų skonio gėrimas GUTTA FRESH,Apple-mint taste drink GUTTA FRESH,2 L,25.00,4750009942202,JUICE/ DRINKS/ COMPOTE
Gutta,Juodųjų ir raudonųjų serbentų gėrimas GUTTA FRESH,Blackcurrant and redcurrant drink GUTTA FRESH,2 L,25.00,4750009942882,JUICE/ DRINKS/ COMPOTE
Gutta,Mandarinų gėrimas su citrinų-žaliųjų citrinų skoniu GUTTA FRESH,Mandarin drink with lemon-lime taste GUTTA FRESH,2 L,25.00,4750009942196,JUICE/ DRINKS/ COMPOTE
Gutta,Negazuotas citrinų skonio gėrimas su juodosios arbatos ekstraktu “Ice Tea”,"Lemon taste drink with black tea extract ""Ice Tea""","1,5 L",20.00,4750009573543,JUICE/ DRINKS/ COMPOTE
Gutta,Negazuotas aviečių skonio gėrimas su juodosios arbatos ekstraktu “Ice Tea”,"Rasberry taste drink with black tea extract ""Ice Tea""","1,5 L",20.00,4750009942004,JUICE/ DRINKS/ COMPOTE
Gutta,Gazuotas gėrimas “Klasiškas limonadas”,"Carbonated drink ""Classic lemonade""","1,5 L",16.00,4750009942929,JUICE/ DRINKS/ COMPOTE
Gutta,Gazuotas gėrimas “Kriaušių limonadas”,"Carbonated drink ""Pear limonade""","1,5 L",16.00,4750009942936,JUICE/ DRINKS/ COMPOTE
CIDO Grupa,Pomidorų sultys iš koncentruotų sulčių Cido Selection,Tomatoe juice Cido Selection,1 L,16.00,4750042300878,JUICE/ DRINKS/ COMPOTE
CIDO Grupa,Raudonųjų apelsinų sultys Cido Selection,Red orange juice Cido Selection,1 L,16.00,4750042303619,JUICE/ DRINKS/ COMPOTE
CIDO Grupa,Granatų nektaras pagamintas iš koncentruotų sulčių Cido Selection,Pomegranate nectar Cido Selection,1 L,16.00,4750042303336,JUICE/ DRINKS/ COMPOTE
CIDO Grupa,Mangų nektaras pagamintas iš kocentruotos tyrės Cido Selection,Mango nectar Cido Selection,1 L,16.00,4750042303411,JUICE/ DRINKS/ COMPOTE
CIDO Grupa,Ananasų- kokosų sultys Cido Selection,Ananas- coconut juice Cido Selection,1 L,16.00,4750042303312,JUICE/ DRINKS/ COMPOTE
CIDO Grupa,Citrinų- žaliųjų citrinų sultys Cido,Lemon- lime juice Cido,1 L,16.00,4750042303053,JUICE/ DRINKS/ COMPOTE
CIDO Grupa,Bananų nektaras iš tyrės Cido,Banana nectar Cido,1 L,16.00,4750042302698,JUICE/ DRINKS/ COMPOTE
CIDO Grupa,Daržovių sultys iš koncentruotų sulčių Cido,Vegetable juice Cido,1 L,16.00,4750042804338,JUICE/ DRINKS/ COMPOTE
CIDO Grupa,Pomidorų sultys iš koncentruotų sulčių Cido,Tomatoe juice Cido,1 L,16.00,4750042804222,JUICE/ DRINKS/ COMPOTE
CIDO Grupa,Apelsinų sultys iš koncentruotų sulčių Cido,Orange juice Cido,1 L,16.00,4750042804208,JUICE/ DRINKS/ COMPOTE
CIDO Grupa,Įvairių vaisių sultys Cido,Multifruit juice Cido,1 L,16.00,4750042300557,JUICE/ DRINKS/ COMPOTE
Kubuš,"Morkų, žaliojo banano, obuolių ir kivio sultys KUBUŠ","Carrot, green banana, apple and kiwi juice KUBUŠ",0.9,15.00,5901067484039,JUICE/ DRINKS/ COMPOTE
Kubuš,"Morkų, banano ir obuolių sultys KUBUŠ","Carrot, banana and apple juice KUBUŠ",0.9,15.00,5901067451079,JUICE/ DRINKS/ COMPOTE
Kubuš,"Banano, obuolių ir persikų sultys KUBUŠ","Banana, apple and peach juice KUBUŠ",0.9,15.00,5901067454070,JUICE/ DRINKS/ COMPOTE
Kubuš,"Morkų, obuolių ir apelsinų sultys KUBUŠ","Carrot, apple and orange juice KUBUŠ",0.9,15.00,5901067446075,JUICE/ DRINKS/ COMPOTE
Kubuš,"Morku, persikų ir obuolių sultys KUBUŠ","Carrot, peach and apple juice KUBUŠ",0.9,15.00,5901067455077,JUICE/ DRINKS/ COMPOTE
Kubuš,"Morkų, aviečių ir obuolių sultys KUBUŠ","Carrot, rasberry and apple juice KUBUŠ",0.9,15.00,5901067447072,JUICE/ DRINKS/ COMPOTE
Kubuš,"Morkų, obuolių, banano ir braškių sultys KUBUŠ","Carrot, apple, banana and strawberry juice KUBUŠ",0.9,15.00,5901067434034,JUICE/ DRINKS/ COMPOTE
Kubuš,"Bananų, morkų ir obuolių sultys KUBUŠ","Banana, carrot and apple juice KUBUŠ",0.3,7.00,5901067451024,JUICE/ DRINKS/ COMPOTE
Kubuš,"Morkų, persikų ir obuolių sultys KUBUŠ","Carrot, peach and apple juice KUBUŠ",0.3,7.00,5901067455022,JUICE/ DRINKS/ COMPOTE
Kubuš,"Morkų, aviečių ir obuolių sultys KUBUŠ","Carrot, rasberry and apple juice KUBUŠ",0.3,7.00,5901067447027,JUICE/ DRINKS/ COMPOTE
Kubuš,"Morkų, obuolų ir apelsinų sultys KUBUŠ","Carrot, apple and orange juice KUBUŠ",0.3,7.00,5901067446020,JUICE/ DRINKS/ COMPOTE
Rasa,Ananasų-persikų skonio gaivusis negazuotas gėrimas RASA su cukru ir saldikliu,Pineapple-peach taste drink RASA,"1,5 L",,4770063224311,JUICE/ DRINKS/ COMPOTE
Rasa,Ivairių vaisių skonio gaivusis negazuotas gėrimas RASA su cukru ir saldikliu,Different fruits taste drink RASA,"1,5 L",,4770063224298,JUICE/ DRINKS/ COMPOTE
Magnum,Įvairių vaisių ir morkų sulčių nektaras su minkštumu,Different fruits and carrot juice drink,1.5,22.00,4779031610040,JUICE/ DRINKS/ COMPOTE
Magnum,Daržovių sultys,Vegetables juice,1.5,22.00,,JUICE/ DRINKS/ COMPOTE
Magnum,Pomidorų sultys su druska ir pipirais 100%,Tomatoe juice with salt and pepper 100%,1.5,22.00,,JUICE/ DRINKS/ COMPOTE
Magnum,Burokėlių ir obuolių sultys100%,Beetroot and apple juice 100%,1.5,22.00,,JUICE/ DRINKS/ COMPOTE
Magnum,Uogų Morsas,Berry mors,1.5,22.00,4779031610118,JUICE/ DRINKS/ COMPOTE
Magnum,Beržų sula silpnai pasaldinta,Birch sap slightly sweetened,1.5,22.00,,JUICE/ DRINKS/ COMPOTE
Magnum,Beržų sula su mėtomis,Birch sap with mint,1.5,22.00,,JUICE/ DRINKS/ COMPOTE
Magnum,Beržų sula su citrina,Birch sap with lemon,1.5,22.00,,JUICE/ DRINKS/ COMPOTE
,Pomidorų sultys stiklainyje,Tomatoe juice,3,40.00,4770143224927,JUICE/ DRINKS/ COMPOTE
Big Fruit,Slyvų nektaras su minštimu,Plum nectar,3,49.00,4770143221698,JUICE/ DRINKS/ COMPOTE
Big Fruit,Obuolių ir juodųjų serbentų sultys,Apple and blackberry juice,3,49.00,4770143221995,JUICE/ DRINKS/ COMPOTE
Ernesto Balčiūno ūkis,Obuolių sultys,Apple juice,5,55.00,4779032890106,JUICE/ DRINKS/ COMPOTE
Natūralūs gėrimai ir KO,Gazuotas aromatizuotas gaivusis gėrimas TARCHUNAS su saldikliais,Flavored carbonated soft drink with sweeteners TARCHUNAS,3 L,20.00,4770346223437,JUICE/ DRINKS/ COMPOTE
Livonia,Nealkoholinis gazuotas mango ir persikų skonio gėrimas “DŽIUNGLĖS”,"Non-alcoholic sparkling mango and peach flavor drink ""JUNGLE""",0.75,35.00,4750108005143,JUICE/ DRINKS/ COMPOTE
Livonia,Nealkoholinis gazuotas žemuogių skonio gėrimas “DŽIUNGLĖS”,"Non-alcoholic sparkling strawberry flavor drink ""JUNGLE""",0.75,35.00,4750108005167,JUICE/ DRINKS/ COMPOTE
Livonia,Nealkoholinis gazuotas obuolių ir kriaušių skonio gėrimas “DŽIUNGLĖS”,"Non-alcoholic sparkling apple and pear flavor drink ""JUNGLE""",0.75,35.00,4750108005419,JUICE/ DRINKS/ COMPOTE
ALEO,"Gaivusis alavijaus sulčių gėrimas ""Aleo Premium""","Aloe Vera drink ""Aleo Premium""",500ml,25.00,4779040220612,JUICE/ DRINKS/ COMPOTE
Frutico,Slyvų kompotas,Plum compot,879 (390),25.00,5902267003402,JUICE/ DRINKS/ COMPOTE
Fresh Point,Vyšnių kompotas be kauliukų,Cherry compot without seed,720 (350),22.00,5999503851880,JUICE/ DRINKS/ COMPOTE
ŠALDYTI MAISTO PRODUKTAI,,,,,,
,SŪRELIAI,FROZEN SWEET COTTAGE CHEESE,kg,,EAN code,
Vikeda,Glaistytas šokoladinis varškės sūrelis,Glazed Chocolate curd cheese,,6.00,,FROZEN SWEET COTTAGE CHEESE
Vikeda,Glaistytas vanilinis varškės sūrelis,Glazed vanilla curd cheese,,6.00,,FROZEN SWEET COTTAGE CHEESE
Vikeda,Glaistytas sūrelis su želė gabaliukais,Glazed cheese with jelly pieces,,6.00,,FROZEN SWEET COTTAGE CHEESE
Vikeda,Glaistytas braškinis varškės sūrelis ,Glazed strawberry cream cheese,,6.00,,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,PASAKA glaistytas varškės sūrelis su vanile,PASAKA frozen cottage cheese with vanilla,40g,6.00,,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,PASAKA glaistytas varškės sūrelis su avietėmis ir šokolado gabaliukais,PASAKA frozen cottage cheese with rasberry and chocolate pieces,40g,6.00,4770265046322,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,PASAKA glaistytas varškės sūrelis su aguonom,PASAKA frozen cottage cheese with poppy,40g,6.00,4770265043598,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,PASAKA glaistytas varškės sūrelis su šokolado gabaliukais,PASAKA frozen cottage cheese with chocolate pieces,40g,6.00,4770265043550,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,PASAKA glaistytas varškės sūrelis su želė gabaliukais,PASAKA frozen cottage cheese with jelly pieces,40g,6.00,4770265043468,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,PASAKA glaistytas varškės sūrelis paukščių pieno skonio,PASAKA frozen cottage cheese with bird milk taste,40g,6.00,4770265048579,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,PASAKA glaistytas varškės sūrelis su sutirštintu pienu,PASAKA frozen cottage cheese with condenced milk,40g,6.00,,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,PASAKA glaistytas varškės sūrelis vanilinis su jogurto gaistu,PASAKA frozen cottage cheese vanilla with yogurt glazed,40g,6.00,,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,"PASAKA glaistytas varškės sūrelis su šokolado gabaliukais ""Belgišku šokoladu""",,40g,6.00,4770265212079,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,"PASAKA glaistytas varškės sūrelis su vanilinu ""Jogurtiniu glaistu""",,40g,6.00,4770265000492,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,JO glaistytas sūrelis su sausainiu ir juodųjų serbentų įdaru,JO frozen cottage cheese with biscuit and blackcurrant filling,40g,6.00,4770265043932,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,JO glaistytas sūrelis su sausainiu ir kondensuotu pienu,JO frozen cottage cheese with biscuit and condenced milk filling,40g,6.00,4770265048586,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,JO glaistytas sūrelis su sausainiu ir karameliniu įdaru,JO frozen cottage cheese with biscuit and caramel filling,40g,6.00,4770265043925,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,JO glaistytas sūrelis su vyšnių įdaru,JO frozen cottage cheese with cherry filling,40g,6.00,4770265050459,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,NYKŠTUKAS glaistytas varškės sūrelis su vanile,NYKŠTUKAS frozen cottage cheese with vanilla,45g,6.00,4770237043519,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,NYKŠTUKAS glaistytas varškės sūrelis su kondensuotu pienu,NYKŠTUKAS frozen cottage cheese with condenced milk,45g,6.00,,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,NYKŠTUKAS glaistytas varškės sūrelis su šokoladu ir šokolado gabaliukais,NYKŠTUKAS frozen cottage cheese with chocolate and chocolate pieces,45g,6.00,4770237043298,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,NYKŠTUKAS glaistytas varškės sūrelis su karamele,NYKŠTUKAS frozen cottage cheese with caramel,45g,6.00,,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,NYKŠTUKAS glaistytas varškės sūrelis su braškėmis,NYKŠTUKAS frozen cottage cheese with strawberries,45g,6.00,4770237043564,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,NYKŠTUKAS glaistytas varškės sūrelis su aguonomis,NYKŠTUKAS frozen cottage cheese with poppy seeds,45g,6.00,,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,SMILGA glaistytas varškės sūrelis maskarponės ir kepintų migdolų skonio,SMILGA frozen cottage cheese with mascarpone and roasted almond taste,40g,6.00,4770237050791,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,SMILGA glaistytas varškės sūrelis kiaušinių likerio ir kepintų migdolų skonio,SMILGA frozen cottage cheese with egg liqueur and roasted almonds taste,40g,6.00,4770237050814,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,SMILGA glaistytas varškės sūrelis šokolado ir kepintų migdolų skonio,SMILGA frozen cottage cheese with chocolate and roasted almonds taste,40g,6.00,4770237050807,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,SMILGA glaistytas varškės sūrelis karamelės ir kepintų migdolų skonio,SMILGA frozen cottage cheese with caramel and roasted almonds taste,40g,6.00,4770237050784,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su kakava ir šokolado gabaliukais,MAGIJA frozen cottage cheese with cacao and chocolate pieces,45g,6.00,4770299047463,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su vanile,MAGIJA frozen cottage cheese with vanilla,45g,6.00,4770299394321,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su aguonomis,MAGIJA frozen cottage cheese with poppy seeds,45g,6.00,4770175046504,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su kokosu,MAGIJA frozen cottage cheese with cocos,45g,6.00,4770175046139,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su žėlė gabaliukais,MAGIJA frozen cottage cheese with jelly pieces,45g,6.00,4770299046756,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su kakava ir karamelizuotais lazdyno riešutais,MAGIJA frozen cottage cheese with cocoa & caramelized hazelnuts,45g,6.00,4770299395922,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su spanguolių įdaru,MAGIJA frozen cottage cheese with cranberry filling,45g,6.00,4770299395939,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su riešutų- moliūgų sėklų įdaru,MAGIJA frozen cottage cheese with pumpkin & hazelnuts filling,45g,6.00,4770299395915,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,MAGIJA Šeimai (4 sūreliai vienoje pakuotėje),MAGIJA for family frozen cottage cheese with (4 in 1),4x45g,20.00,4770299046633,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,LANKŲ glaistytas desertas su aguonomis,LANKŲ curd dessert with poppy seeds,35g,5.00,4770299393683,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,LANKŲ glaistytas desertas su želė gabaliukais,LANKŲ curd dessert with jelly pieces,35g,5.00,4770299393690,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,PINAS glaistytas varškės sūrelis su želė gabalukais,PINAS frozen cottage cheese with poppy seeds,40g,6.00,4770299394253,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,PINAS glaistytas varškės sūrelis su kakava ir šokolado gabaliukais,PINAS frozen cottage cheese with cacao and chocolate pieces,40g,6.00,4770299394246,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,PINAS varškės sūrelis- obuolių pyragas,PINAS frozen cottage cheese- apple pie,100g,10.00,4770299394369,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,PINAS varškės sūrelis- burboninė vanilė,PINAS frozen cottage cheese with raisins,100g,10.00,4770299394376,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,PINAS varškės sūrelis su razinomis,PINAS frozen cottage cheese with poppy seeds,100g,10.00,4770299394352,FROZEN SWEET COTTAGE CHEESE
Žemaitijos pienas,Desertinė varškė SOTI plombyro skonio,Frozen cottage cheese SOTI vanilla taste,180,18.00,4770299046299,FROZEN SWEET COTTAGE CHEESE
Varėnos pienelis,DADU glaistytas varškės sūrelis vanilinis,DADU frozen cottage cheese vanilla,40g,6.00,4770166219269,FROZEN SWEET COTTAGE CHEESE
Varėnos pienelis,DADU glaistytas varškės sūrelis braškinis,DADU frozen cottage cheese strawberry,40g,6.00,4770166219283,FROZEN SWEET COTTAGE CHEESE
Varėnos pienelis,DADU glaistytas varškės sūrelis šokoladinis,DADU frozen cottage cheese chocolate,40g,6.00,4770166219276,FROZEN SWEET COTTAGE CHEESE
Uriga,Užšaldytas glaistytas varškės sūrelis su vanilinu,Frozen cottage cheese vanilla,40g,6.00,4770269041217,FROZEN SWEET COTTAGE CHEESE
Uriga,Užšaldytas glaistytas varškės sūrelis su spanguolių uoginės įdaru,Frozen cottage cheese with cranberry jam filling,40g,6.00,4770269041279,FROZEN SWEET COTTAGE CHEESE
Uriga,Užšaldytas glaistytas varškės sūrelis su aguonomis,Frozen cottage cheese with poppy seeds,40g,6.00,4770269041225,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,"Varškės sūrelis ""Rytas"" su vanile",Frozen cottage cheese RYTAS with vanilla,100g,10.00,4770237043793,FROZEN SWEET COTTAGE CHEESE
Pieno žvaigždės,"Varškės sūrelis ""Rytas"" su razinomis",Frozen cottage cheese RYTAS with raisins,100g,10.00,4770237043786,FROZEN SWEET COTTAGE CHEESE
,VARŠKĖ,CURD,kg,,EAN code,
Pieno žvaigždės,Varškė DVARO liesa,Curd DVARO (no fat),250g,16.00,4770265046698,CURD
Pieno žvaigždės,Varškė DVARO 9%,Curd DVARO 9%,250g,16.00,4770265046681,CURD
Pieno žvaigždės,Varškė DVARO 15%,Curd DVARO 15%,250g,20.00,4770265046674,CURD
Žematijos pienas,Varškė pusriebė 9%,Curd 9%,~400g,27.00,2578277004,CURD
Žematijos pienas,"Varškė liesa 0,5%",Curd 0.5%,~350,22.00,2578278003,CURD
Žematijos pienas,"Varškė lankų, pusriebė 9%","Curd LANKŲ, 9%",200g,13.00,4770299046541,CURD
,KITI ŠALDYTI PIENO PRODUKTAI,OTHER FROZEN PRODUCTS,kg,,EAN code,
Žemaitijos,Žemaitiškas kastinys,Žemaitijos sour cream-butter,200g,18.00,4770299043236,OTHER FROZEN PRODUCTS
Žemaitijos,Sviestas 82% rieb.,Butter 82% fat,200g,19.00,4770299045186,OTHER FROZEN PRODUCTS
Svalia,"Lietuviškas sviestas, 82%","Lithuanian butter, 82%",200g,18.00,4770275045353,OTHER FROZEN PRODUCTS
Pieno žvaigždės,"Sviestas DVARO, 82%","Butter estates, 82%",200g,19.00,4770275045216,OTHER FROZEN PRODUCTS
Žematijos pienas,“Lankų” fas. 72%,LANKŲ butter 72%,200g,15.00,4770299045100,OTHER FROZEN PRODUCTS
Žematijos pienas,“Šeimininkės” fas. 66%,"ŠEIMININKĖS butter, 66%",100g,11.00,4770299045063,OTHER FROZEN PRODUCTS
Pieno žvaigždės,72% TRM „Saulutė“ fas.,"72% of the TRM ""Sun"" fas.",200g,18.00,4770299045049,OTHER FROZEN PRODUCTS
Pieno žvaigždės,72% TRM „Saulutė“ fas. Sūdytas,"72% of the TRM ""Sun"" fas. salted",200g,18.00,4770299045018,OTHER FROZEN PRODUCTS
,ŠALDYTOS UOGOS/ GRYBAI/ DARŽOVĖS,FROZEN VEGETABLES/ BERRIES/ MUSHROOMS,kg,,EAN code,
